               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 157,            0.019308,            0.043736,           0.0033969,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004852,            0.004852,            0.004852
                 158,            0.019839,            0.041176,           0.0034764,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004819,            0.004819,            0.004819
                 159,            0.019575,            0.042703,            0.003705,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004786,            0.004786,            0.004786
                 160,            0.020146,            0.042042,           0.0036542,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004753,            0.004753,            0.004753
                 161,            0.019345,            0.043199,           0.0035986,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00472,             0.00472,             0.00472
                 162,             0.02024,            0.043345,           0.0035574,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004687,            0.004687,            0.004687
                 163,            0.019485,            0.042803,           0.0038491,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004654,            0.004654,            0.004654
                 164,            0.020076,            0.042684,           0.0036528,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004621,            0.004621,            0.004621
                 165,            0.019663,             0.04291,           0.0035402,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004588,            0.004588,            0.004588
                 166,            0.019952,            0.044383,           0.0035715,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004555,            0.004555,            0.004555
                 167,            0.018727,            0.038425,           0.0036014,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004522,            0.004522,            0.004522
                 168,            0.019524,            0.043856,           0.0034553,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004489,            0.004489,            0.004489
                 169,             0.01897,            0.041934,           0.0036664,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004456,            0.004456,            0.004456
                 170,            0.019004,            0.042013,           0.0033234,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004423,            0.004423,            0.004423
                 171,             0.01879,            0.044181,           0.0036155,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00439,             0.00439,             0.00439
